tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
Z,1137256,0.0280744113895684,5.105271179156887e-197,0.0040934788564824,1.2689636612741237e-05,-47.34862799646506,27.94331605224827,1.530336162662583
AAXJ,520178,0.0239890851362979,4.374334098464484e-67,-0.0060350370482054,1.3447045004401868e-05,-215.58559532590832,36.19592631874749,-0.1947780691766371
ADP,903271,0.0213417409960489,1.723667564844191e-91,-0.0001923972852644,0.8549116151365712,6.375449370535808,-22.84877986786759,1.4327266454997385
AIG,1279892,0.0232785388759865,6.843821538965006e-153,0.0059889181539199,1.2401473579149854e-11,15.293991616622677,-25.248658838142564,1.6621055085803793
AMZN,1128217,-0.0086070325819978,6.111581696203657e-20,0.0464091546113913,0.0,-28.04142585511353,21.628687433668087,5.016977123625379
AXP,1268529,0.0118496983681774,1.23894389479754e-40,0.0082890746650853,9.999280419430731e-21,-16.619793745216665,6.164130688489309,-1.9186325971845315
BEKE,1051601,0.0224628580289671,1.9404237267779973e-117,0.0197603598133413,2.5811016322804406e-91,-176.3811346102188,37.29060431069594,-2.980092136056945
BNS,679255,0.0274868242344878,1.1625260040719049e-113,-0.0026585122901275,0.0284471617035793,-15.720091477970026,2.4929309668190416,0.7602596648077108
CCI,972439,0.0286152362171069,2.977702336482803e-175,0.0057593713915469,1.3509722833367064e-08,-23.958114496509488,20.194183166196947,4.096705028833079
CHTR,746265,0.0403415513581059,2.627143494194461e-266,0.0172036175417349,5.755746103000388e-50,-43.73711611804155,35.768123835993805,11.153291339223436
CNQ,1122944,0.0206189674096135,7.436503181562471e-106,0.0038442611949453,4.626459279365064e-05,-11.532177049001865,-4.663232508539137,0.682566327964895
CPRT,1180286,0.0183332545917217,2.780629877850466e-88,0.003406315494721,0.0002150386331404,-4.22762839860805,-0.6518671640212468,0.3738735761715785
CVE,982413,0.0246854897589102,2.997052276229507e-132,-0.007059080779935,2.618566321613503e-12,-48.84613994952682,-4.8476196695956615,0.1826354095889095
DEO,541961,0.0218427008667502,3.4095810338284324e-58,0.0040595844254766,0.0028026766504072,-12.557456299847766,-6.450259512788831,2.938294440822025
DOCU,1212809,0.0361760449791046,0.0,0.0108622415764177,5.5742129637255874e-33,-167.56036399888913,94.85140399500608,8.837114448471967
EC,428856,0.0502510279821209,8.553185969516184e-238,-0.0205468631648649,2.8033961943169063e-41,-96.78500150466616,47.01293604512108,0.7338524272999
EQR,853664,0.027142778312581,7.649805793550157e-139,-0.0003016731271283,0.7804541224718679,-20.06337545997815,10.139580731826982,1.8228101022976275
FAST,1311728,0.0214768162706891,1.252009561471844e-133,0.0053457802155336,9.20622666918337e-10,-1.9089735185689876,136.76806789058654,136.6986329589436
FOX,822491,0.032155737324636,4.665917564561008e-187,0.0020472332742702,0.0633593452869658,-12.83149996131658,-1.0848191370097364,1.5671799018763288
