tk,n,flow_oc,p_oc,flow_cc,dir_oc,mean_dir,frac_short
ESGU,946,0.0017942933837063265,0.956047353948532,0.054920321960635114,-0.0019436100290409406,0.18181818181818182,0.4090909090909091
ETSY,945,-0.04200003579294215,0.1970585556700199,0.0053490829091584775,0.007012086584306069,-0.9957671957671957,0.9978835978835979
EVRG,946,0.000548320721959823,0.9865622918803213,0.08535909775178283,0.02500362565663479,-0.8942917547568711,0.9471458773784355
EW,859,-0.022478685170629193,0.5105735583194687,-0.004544707269944606,-0.005008976864795669,0.3341094295692666,0.3329452852153667
EXAS,950,-0.022909899456183987,0.4806276600716548,-0.19915793778493474,-0.025315503264898696,-0.9957894736842106,0.9978947368421053
EXC,899,-0.04056339099027118,0.22435334960526848,-0.05254603043684756,-0.05617156140332473,-0.946607341490545,0.9733036707452726
EXPE,931,0.0859662701429744,0.008681105745926171,0.16185549356383522,0.011998763302265422,-0.7980665950590763,0.8990332975295381
F,990,0.10818645027723182,0.000650298629491495,0.16340132021105383,0.017856416569234368,-0.38181818181818183,0.6909090909090909
FANG,924,0.08015420970201964,0.014805543212323516,0.08471094340347744,0.03821931370148266,-0.8636363636363636,0.9318181818181818
FAST,886,-0.04918992154646715,0.14346911602941637,-0.05455778752228957,-0.00786592568688967,-0.6410835214446953,0.8205417607223476
FCX,860,0.03353028018470881,0.32602751661716256,0.07052542237175576,0.022019431953821906,-0.9558139534883721,0.977906976744186
FE,921,-0.016747656615433384,0.6117318358396673,-0.0069101666198252915,-0.021630698540324674,-0.15743756786102062,0.5787187839305103
FERG,945,0.008263019249855747,0.7997424887886718,0.0930325161292551,0.027706188396203063,-0.8497354497354498,0.9248677248677248
FIS,931,0.12899486596516432,7.90893343908256e-05,0.3177861169054651,0.05277433361792663,-0.8582169709989259,0.9291084854994629
FITB,752,0.05454306424087962,0.13508730020054224,0.07114564778399503,0.04022364608370996,0.5718085106382979,0.21409574468085107
FIVN,951,0.12886778661894216,6.734836097459224e-05,0.07553854049912073,0.004214983618834598,-0.9978969505783386,0.9989484752891693
FLEX,934,-0.009749413759410417,0.7660360086416423,0.023415733912988207,-0.052270937693253874,-0.9464668094218416,0.9732334047109208
FNF,949,0.08559713943109232,0.00833326451104078,0.12301810873552334,0.048018598271200294,-0.6290832455216017,0.8145416227608009
FOX,976,-0.006957301307822978,0.8281482351929399,-0.024847438901795003,0.01427741624177718,0.33401639344262296,0.33299180327868855
FOXA,889,0.08429285121411842,0.011929464876130167,0.05741619689718673,0.033681981277811746,0.37907761529808776,0.31046119235095615
FRO,952,-0.07492832149462769,0.020772774758063564,-0.17431732401941125,0.07683595174412686,-0.9684873949579832,0.9842436974789915
FSLR,949,-0.10877259860271882,0.0007897043011066718,-0.061890831598199206,-0.006858133389146863,-0.9936775553213909,0.9968387776606955
FTCS,949,-0.011188669030760634,0.7306711508279409,0.0252522416782942,-0.015570026197611771,-0.9241306638566913,0.9620653319283456
FTI,951,-0.07016595496380541,0.030493588828440735,-0.03982400559498139,0.0032089582598641433,-0.9957939011566772,0.9978969505783386
FTNT,848,-0.08927318555105203,0.00929430488741216,0.11815094173330723,-0.012393774766334572,-0.6580188679245284,0.8290094339622641
FUTU,939,0.053147901547597146,0.10361017506541732,0.0014517624822750637,0.09438925253584123,-0.8615548455804047,0.9307774227902024
GD,937,-0.025391092262356085,0.4375597336642678,-0.01802024247972965,0.02167950805381719,0.12913553895410887,0.43543223052294555
GDS,985,0.04082780002192772,0.20044828654709182,-0.03138927455493651,0.008957335803485164,-0.9776649746192894,0.9888324873096447
GE,879,0.006687482965799563,0.8430527860720226,0.11041022306857279,0.020368470691834967,-0.7246871444823664,0.8623435722411832
GEN,717,-0.058188063733456426,0.11954315321629065,-0.024093934822656166,-0.05303184874186064,-0.12691771269177127,0.5634588563458857
GFI,951,-0.06716870377543453,0.03836041052551827,-0.08945930327794432,-0.05651339922062153,-0.9600420609884333,0.9800210304942166
GILD,916,-0.19791680986375557,1.5246903892418858e-09,-0.2281543762498606,0.020244961921407914,-0.9956331877729258,0.9978165938864629
GIS,860,-0.003624984201284709,0.9154624396300227,0.047827864071175126,0.008066812306765312,0.18604651162790697,0.4069767441860465
GLW,913,-0.14337158336803363,1.3697830363597287e-05,-0.2136989837762922,-0.012066160722911298,-0.7086527929901424,0.8543263964950711
GM,840,-0.027146997511260807,0.4320034613793144,-0.025428065887127337,0.05436750396119088,-0.7452380952380953,0.8726190476190476
GMAB,951,0.050227161151563574,0.12165611730962397,0.007236905391448037,0.07036572226442363,-0.9894847528916929,0.9947423764458465
GME,998,-0.05966506383458276,0.059537405428538616,-0.08414097591295007,0.004060151485968327,-0.9959919839679359,0.9979959919839679
GOOGL,586,0.26112318182443056,1.3687778293255683e-10,0.3513809680298897,0.20970234713241878,-0.6928327645051194,0.8464163822525598
GPN,945,0.1427971134690497,1.0505661108616519e-05,0.1496474361048804,-0.03234283568083992,-0.9174603174603174,0.9587301587301588
GSK,948,-0.1339555634328965,3.50867153194702e-05,-0.07329625845066352,-0.015149226732067688,-0.9831223628691983,0.9915611814345991
GT,949,-0.09233087517719829,0.004417991321744733,-0.13803281147815188,-0.03740600912045656,-0.565858798735511,0.7829293993677555
HAS,943,-0.11872554319607635,0.0002582312887007533,-0.11070095470191184,-0.04725457644617793,-0.7476139978791092,0.8738069989395546
